GEOID20,District
36055000625,23
36055000811,23
36055000093,23
36055000702,23
36055000006,23
36055000090,23
36055000628,23
36055000651,23
36055000744,23
36027000209,19
36025000047,8
36027000054,19
36025000044,8
36027000208,19
36025000045,8
36027000002,8
36027000190,8
36027000165,19
36027000161,19
36027000162,19
36027000199,19
36027000210,19
36027000198,19
36027000202,19
36027000124,19
36027000147,19
36027000141,19
36027000156,19
36027000001,8
36027000003,19
36027000047,19
36027000055,19
36027000154,19
36027000160,19
36027000151,19
36027000157,19
36027000195,19
36027000004,19
36027000135,19
36027000136,19
36027000131,19
36027000144,19
36027000132,19
36027000143,19
36027000045,19
36027000180,8
36027000178,8
36027000025,19
36027000029,19
36027000053,19
36027000063,19
36027000058,19
36027000006,19
36007000024,8
36007000013,8
36007000012,8
36007000023,8
36007000046,8
36007000048,8
36007000075,8
36007000074,8
36007000076,8
36007000063,8
36007000064,8
36007000066,8
36007000065,8
36007000003,8
36007000004,8
36007000005,8
36007000053,8
36007000055,8
36007000056,8
36007000054,8
36007000008,8
36007000073,8
36007000140,8
36007000139,8
36007000141,8
36007000107,8
36007000106,8
36007000108,8
36007000105,8
36007000113,8
36007000100,8
36007000099,8
36007000098,8
36007000068,8
36007000119,8
36007000125,8
36007000093,8
36007000027,8
36007000028,8
36007000026,8
36007000022,8
36007000021,8
36007000020,8
36007000051,8
36007000052,8
36007000050,8
36007000049,8
36007000072,8
36007000078,8
36007000007,8
36007000010,8
36007000058,8
36007000096,8
36007000095,8
36007000088,8
36007000025,8
36007000029,8
36007000019,8
36007000018,8
36007000030,8
36007000031,8
36007000033,8
36007000034,8
36007000057,8
36007000122,8
36007000136,8
36007000127,8
36007000128,8
36007000120,8
36007000124,8
36007000002,8
36007000067,8
36007000089,8
36007000134,8
36007000126,8
36007000094,8
36007000085,8
36007000081,8
36007000071,8
36007000138,8
36007000041,8
36007000040,8
36007000079,8
36007000090,8
36007000123,8
36007000132,8
36007000009,8
36007000117,8
36007000044,8
36007000045,8
36007000038,8
36007000116,8
36007000110,8
36007000114,8
36007000115,8
36007000061,8
36007000103,8
36007000006,8
36007000097,8
36007000104,8
36007000084,8
36007000070,8
36007000133,8
36007000001,8
36007000091,8
36007000087,8
36007000121,8
36007000086,8
36007000083,8
36007000080,8
36007000069,8
36007000137,8
36007000082,8
36007000092,8
36007000118,8
36007000131,8
36007000135,8
36007000042,8
36007000043,8
36007000039,8
36007000059,8
36007000111,8
36007000109,8
36007000060,8
36007000062,8
36007000101,8
36007000011,8
36007000102,8
36007000036,8
36019000035,17
36017000021,8
36019000043,17
36017000002,8
36019000046,17
36019000048,17
36017000004,8
36017000026,8
36017000010,8
36019000051,17
36017000027,8
36019000019,17
36017000024,8
36017000011,8
36017000022,8
36017000012,8
36019000024,17
36017000007,8
36017000006,8
36019000001,17
36017000008,8
36017000009,8
36019000029,17
36017000014,8
36017000017,8
36017000013,8
36017000019,8
36017000016,8
36019000026,17
36017000030,8
36017000031,8
36017000029,8
36019000027,17
36019000028,17
36017000003,8
36019000025,17
36017000025,8
36019000005,17
36017000005,8
36017000015,8
36017000028,8
36019000030,17
36017000018,8
36017000020,8
36019000014,17
36019000017,17
36019000020,17
36019000036,17
36019000008,17
36027000174,8
36027000062,19
36027000068,19
36027000110,19
36027000114,8
36027000113,19
36027000115,19
36027000116,8
36027000111,19
36027000127,19
36027000095,19
36027000014,19
36027000021,19
36027000020,19
36027000019,19
36027000018,19
36027000016,19
36027000023,8
36027000024,8
36027000088,19
36027000080,19
36027000079,19
36027000034,19
36027000048,19
36027000044,19
36027000037,19
36027000050,19
36027000049,19
36027000046,19
36027000220,8
36027000009,19
36027000005,19
36027000133,19
36027000129,19
36027000128,19
36027000134,19
36027000145,19
36027000130,19
36027000070,8
36027000196,19
36027000083,19
36027000104,19
36027000177,8
36027000026,19
36027000118,19
36027000066,19
36027000064,19
36027000056,19
36027000067,19
36027000059,19
36027000010,19
36027000007,19
36027000011,19
36027000089,19
36027000096,19
36027000091,19
36027000167,19
36025000046,8
36027000171,19
36027000061,19
36025000031,8
36027000060,19
36027000057,19
36027000108,8
36027000112,19
36025000010,8
36027000150,19
36027000040,19
36027000032,19
36025000027,8
36027000039,19
36027000051,19
36027000038,19
36025000004,8
36027000121,19
36025000006,19
36027000175,8
36027000207,19
36027000017,19
36025000051,8
36027000097,8
36027000030,19
36025000048,8
36027000082,19
36027000073,19
36027000081,19
36025000026,8
36027000098,8
36027000078,19
36027000099,8
36025000032,8
36027000101,8
36027000107,19
36025000050,8
36027000193,19
36027000186,8
36025000008,8
36027000176,8
36025000017,8
36027000218,8
36027000119,19
36025000030,8
36027000164,19
36027000172,19
